,producto,precio_unitario,link_oferta
54,Protector Diario Kotex Cuidado Diario Mult . . .,"Precio por 1 Unidad : $30,95",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-protector-diario-kotex-cuidado-diario-multiestilo-x60/_/A-00261449-00261449-200
55,Protector Incontinencia Esencial Plenitud . . .,"Precio por 1 Unidad : $32,67",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-protector-incontinencia-esencial-plenitud-paq-20-uni/_/A-00523369-00523369-200
56,Cartucho Pelikan Estilogr 6 Uni,"Precio por 1 Unidad : $33,17",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cartucho-pelikan-estilogr-6-uni/_/A-00083590-00083590-200
57,Folios Oficio LUMA 30-06 10 Unidades,"Precio por 1 Unidad : $33,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-folios-oficio-luma-30-06-10-unidades/_/A-00166243-00166243-200
58,Bolsa Residuo 50x70 Cristal Del Lago X 20 . . .,"Precio por 1 Unidad : $34,25",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-residuo-50x70-cristal-del-lago-x-20-uni/_/A-00550503-00550503-200
59,Toallas Femeninas Esencial Normal Con Alas . . .,"Precio por 1 Unidad : $34,32",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-toallas-femeninas-esencial-normal-con-alas-kotex-paq-16-uni/_/A-00522549-00522549-200
60,Bolsa Resid. 45 X 60 TASK Paq 20 Uni,"Precio por 1 Unidad : $34,45",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-resid-45-x-60-task-paq-20-uni/_/A-00295873-00295873-200
61,Folio RIVADAVIA Escolar 10 Unidades,"Precio por 1 Unidad : $34,90",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-folio-rivadavia-escolar-10-unidades/_/A-00209504-00209504-200
62,Lapices De Color SIMBALL Innovation 6 Unid . . .,"Precio por 1 Unidad : $36,50",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lapices-de-color-simball-innovation-6-unidades/_/A-00525753-00525753-200
63,Bolsas De Residuos TRASH 45 X 60 Cm 20 U. . . .,"Precio por 1 Unidad : $37,75",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-trash-45-x-60-cm-20-u-multiuso/_/A-00503141-00503141-200
64,Papel Higiénico CAMPANITA Soft Simple Hoja . . .,"Precio por 1 Cuadrado : $39,30",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papel-higienico-campanita-soft-simple-hoja-paquete-4-unidades/_/A-00038051-00038051-200
65,Bolsa De Residuo Mediana 50x70 Flowi 20u.,"Precio por 1 Unidad : $39,64",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-de-residuo-mediana-50x70-flowi-20u/_/A-00562288-00562288-200
66,Bolsas De Residuos ASURIN 50 X 70 Cm 100 U . . .,"Precio por 1 Unidad : $40,37",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-asurin-50-x-70-cm-100-u-fuertes/_/A-00294939-00294939-200
67,Papel Higiénico FELPITA Blanquísimo Simple . . .,"Precio por 1 Cuadrado : $41,28",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papel-higienico-felpita-blanquisimo-simple-hoja-paquete-4-unidades/_/A-00203422-00203422-200
68,Bolsa Residuo 50 X 70 Task Bsa 10 Uni,"Precio por 1 Unidad : $41,65",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsa-residuo-50-x-70-task-bsa-10-uni/_/A-00250593-00250593-200
69,Bolsas De Residuos ASURIN 50 X 70 Cm 30 U. . . .,"Precio por 1 Unidad : $41,91",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-asurin-50-x-70-cm-30-u-fuertes/_/A-00188433-00188433-200
70,Papel Higiénico FELPITA Blanquísimo Simple . . .,"Precio por 1 Cuadrado : $42,61",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papel-higienico-felpita-blanquisimo-simple-hoja-paquete-6-unidades/_/A-00290503-00290503-200
71,Bolsas De Residuos ASURIN 45 X 55 Cm 20 U. . . .,"Precio por 1 Unidad : $42,82",https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bolsas-de-residuos-asurin-45-x-55-cm-20-u-fuertes/_/A-00508188-00508188-200
